,MUNCOD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,110001,0,2,1,0,1,4,3,3,1,0,5,1,1,1
1,110037,0,0,1,4,0,0,0,2,1,2,1,0,0,0
2,110040,0,0,1,1,2,0,0,0,1,1,0,5,4,2
3,110034,0,0,2,4,2,1,1,0,3,1,5,5,2,1
4,110002,0,6,3,7,13,12,8,8,7,16,21,25,26,9
5,110045,0,0,0,0,0,0,3,1,2,2,1,11,8,2
6,110003,0,0,0,0,1,0,0,0,1,0,0,0,1,0
7,110060,0,0,0,0,2,0,0,0,0,0,0,0,4,0
8,110004,0,8,7,3,1,8,11,20,10,11,12,14,10,6
9,110070,0,0,0,0,0,0,0,0,0,0,0,0,3,0
10,110080,0,1,1,0,0,1,1,1,1,1,4,3,2,0
11,110090,0,0,1,0,1,0,0,0,0,0,0,0,1,0
12,110005,0,1,4,1,2,0,1,2,4,2,2,0,0,0
13,110092,0,0,0,1,1,2,0,1,0,0,0,1,1,0
14,110006,0,3,0,1,1,0,0,3,0,5,9,0,1,0
15,110007,0,1,0,0,0,0,0,1,0,1,2,0,0,1
16,110008,0,1,0,0,0,0,0,0,0,1,4,0,0,0
17,110094,0,0,3,0,0,0,0,3,1,1,3,11,4,0
18,110009,0,2,7,7,3,4,3,8,6,9,4,10,9,3
19,110100,0,1,1,0,1,0,0,1,1,1,0,0,2,0
20,110010,0,2,2,2,0,1,2,3,0,3,1,15,13,0
21,110110,0,0,0,0,1,0,0,0,0,0,2,1,0,0
22,110011,0,9,1,1,2,16,11,4,10,6,3,3,6,1
23,110012,0,15,14,20,19,22,14,12,5,6,5,4,5,0
24,110013,0,5,0,0,2,0,0,0,7,3,2,1,4,3
25,110120,0,0,0,0,0,0,1,0,1,1,0,0,1,0
26,110130,0,0,0,0,0,0,0,2,0,0,0,1,0,0
27,110140,0,0,0,0,0,0,0,2,0,0,0,1,0,0
28,110014,0,1,1,0,0,2,0,0,0,0,0,0,0,0
29,110033,0,1,0,1,2,0,0,1,0,1,2,0,3,0
30,110050,0,0,1,1,1,1,1,5,1,0,0,1,0,0
31,110015,0,3,9,8,2,9,3,4,8,9,3,4,2,0
32,110145,0,0,0,0,0,0,0,1,0,1,3,0,3,0
33,110018,0,5,3,11,13,4,11,9,12,16,8,10,17,1
34,110146,0,0,0,0,0,0,1,1,0,0,0,0,0,0
35,110020,0,4,14,32,30,32,31,21,30,40,33,70,47,10
36,110025,0,0,2,3,1,3,3,2,1,0,2,0,2,0
37,110147,0,0,0,0,1,2,2,0,0,4,0,0,1,0
38,110028,0,9,12,7,16,25,6,15,5,4,0,2,3,1
39,110029,0,1,0,0,1,0,0,0,0,0,2,3,0,2
40,110148,0,0,0,0,0,1,0,0,0,1,0,0,0,0
41,110149,0,0,3,1,0,1,0,0,0,1,1,3,1,0
42,110032,0,3,2,1,0,0,0,1,1,2,5,7,2,0
43,110150,0,0,0,0,1,1,0,1,0,0,1,2,4,0
44,110155,0,0,0,0,0,0,1,0,0,0,0,0,0,0
45,110160,0,0,1,0,0,2,0,1,0,0,1,0,0,0
46,110170,0,1,0,1,0,1,1,0,0,0,0,0,2,0
47,110175,0,0,0,0,0,1,0,0,0,1,1,0,0,0
48,110180,0,0,1,0,0,0,0,1,0,0,1,0,2,0
49,110030,0,9,2,13,16,19,23,19,18,14,17,18,21,6
50,120001,0,1,1,1,1,0,0,1,0,0,0,0,0,0
51,120005,0,1,2,0,1,1,0,0,0,0,0,0,0,0
52,120010,0,2,1,2,2,6,5,4,6,4,5,6,7,1
53,120013,0,1,0,0,0,0,0,0,0,1,0,0,1,0
54,120017,0,0,0,0,0,0,0,2,0,0,0,0,0,0
55,120020,0,25,10,6,6,13,10,13,9,6,5,4,17,2
56,120025,0,0,0,5,1,2,4,0,2,3,7,4,0,3
57,120030,0,3,0,2,1,5,1,2,4,0,2,3,1,0
58,120032,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,120033,0,1,0,2,0,2,3,1,2,1,3,0,0,1
60,120034,0,1,0,0,0,3,1,0,0,1,0,0,1,0
61,120035,0,0,1,0,0,0,0,2,1,0,0,0,9,1
62,120038,0,3,0,2,1,0,2,1,3,1,0,0,1,0
63,120080,1,1,0,0,0,0,0,0,0,1,2,3,0,0
64,120039,0,2,0,1,0,0,0,1,0,2,0,1,0,0
65,120040,2,18,13,15,16,11,10,7,9,8,6,9,10,4
66,120042,0,2,4,1,0,0,1,2,0,3,1,0,1,0
67,120043,0,0,0,0,6,0,4,0,0,2,0,0,2,0
68,120050,0,5,1,6,1,4,1,3,0,0,1,0,1,0
69,120045,1,1,1,4,0,0,1,3,1,0,0,0,0,0
70,120060,0,1,1,1,9,6,2,2,4,2,3,8,9,1
71,120070,0,4,1,1,1,5,5,3,1,8,3,4,0,0
72,130002,0,0,0,0,0,0,0,1,0,0,2,4,0,0
73,130010,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,130014,0,0,0,0,0,0,0,0,0,3,0,1,3,1
75,130020,0,1,0,0,0,0,0,0,0,1,5,2,0,1
76,130030,0,0,0,0,0,0,0,0,2,2,1,2,1,1
77,130040,0,1,2,0,0,0,0,0,4,5,2,0,1,0
78,130050,1,4,0,4,0,1,1,5,1,3,2,1,0,0
79,130060,0,2,6,2,0,0,0,0,0,0,0,0,2,0
80,130063,0,0,0,0,0,0,0,0,0,0,0,0,1,0
81,130068,0,0,1,1,1,0,0,0,0,2,0,0,1,1
82,130070,0,5,0,2,2,6,0,1,0,1,0,0,3,0
83,130080,0,2,1,0,2,5,2,3,5,5,6,4,9,0
84,130083,0,0,0,0,0,0,0,0,0,1,0,0,1,2
85,130090,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86,130100,0,1,0,0,0,0,0,0,0,0,3,1,4,2
87,130110,0,1,0,0,0,0,0,0,0,3,2,1,1,0
88,130115,0,0,0,0,0,1,0,0,0,1,0,0,1,0
89,130120,0,11,1,0,0,0,8,5,6,7,2,7,7,2
90,130130,0,0,0,0,0,0,0,0,0,0,0,4,1,0
91,130140,0,5,1,2,0,2,4,11,2,2,4,4,7,2
92,130150,0,0,0,0,0,0,0,0,0,0,0,3,2,0
93,130160,0,0,0,0,0,0,0,0,3,3,4,0,2,1
94,130165,0,3,0,0,0,1,2,1,2,0,6,1,1,0
95,130170,0,2,1,2,1,0,0,1,0,0,0,0,1,3
96,130180,0,0,0,0,0,1,0,0,0,0,2,0,0,0
97,130185,0,0,0,0,0,0,0,0,2,5,3,7,4,2
98,130190,0,1,1,0,0,1,0,0,0,0,4,0,6,1
99,130200,0,1,0,0,0,0,0,0,1,0,0,0,0,2
100,130210,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,130220,0,0,0,0,0,0,0,0,0,1,0,1,1,0
102,130230,0,0,0,0,0,0,0,0,0,0,1,1,0,0
103,130240,0,0,0,0,0,0,1,1,0,0,5,2,4,1
104,130250,0,5,7,15,10,4,0,0,2,4,13,11,15,4
105,130255,0,0,0,0,0,0,0,0,0,1,0,1,0,0
106,130260,4,27,225,164,186,80,142,55,133,169,232,250,239,70
107,130270,0,3,0,0,0,0,0,0,2,0,2,0,0,0
108,130280,0,0,0,0,0,0,0,0,0,1,0,5,1,1
109,130290,2,6,9,9,10,6,11,8,10,9,9,7,4,3
110,130300,0,0,0,0,0,0,1,0,3,1,0,0,1,0
111,130310,0,4,4,1,0,1,0,0,0,2,1,0,2,0
112,130320,0,0,0,0,0,0,0,0,0,0,0,0,2,3
113,130330,0,0,0,0,0,0,0,0,0,0,4,0,5,1
114,130340,0,0,2,2,1,1,4,9,2,5,17,9,2,0
115,130353,0,0,0,0,0,0,0,0,2,2,2,1,0,0
116,130356,0,0,0,0,0,0,0,0,1,1,4,1,7,1
117,130360,0,1,0,0,1,0,0,0,0,0,0,0,1,0
118,130370,0,0,0,0,0,1,0,0,0,0,3,0,0,1
119,130380,1,2,0,4,11,1,0,0,0,1,9,6,3,1
120,130390,0,0,0,1,1,1,0,0,0,1,0,2,1,0
121,130395,0,0,0,0,0,0,0,0,0,0,2,0,1,0
122,130400,0,0,0,0,0,0,0,1,1,0,0,0,0,0
123,130406,0,1,4,1,3,2,1,1,8,2,1,2,3,1
124,130410,0,0,0,0,0,0,0,0,0,0,0,1,0,0
125,130420,0,15,5,1,12,13,17,14,7,12,18,9,9,3
126,130423,0,2,0,0,0,0,0,0,0,0,4,0,0,0
127,130426,0,0,0,0,0,0,1,0,0,0,0,0,1,0
128,130430,0,1,0,0,0,0,0,0,0,0,1,0,0,0
129,130440,0,2,0,0,0,0,0,0,0,0,0,1,0,0
130,140005,0,1,0,2,1,0,0,1,3,0,1,1,0,0
131,140002,0,0,0,0,0,1,1,0,0,0,0,0,0,0
132,140010,0,8,5,19,15,17,7,4,9,10,7,1,7,5
133,140015,0,0,0,0,2,1,0,0,0,0,0,0,0,0
134,140017,0,0,2,2,1,0,4,0,1,0,0,0,0,0
135,140020,0,2,1,0,7,1,2,0,0,0,0,1,0,0
136,140023,0,0,0,0,0,0,1,0,0,0,0,1,0,0
137,140028,0,1,1,0,1,0,1,0,0,0,0,0,0,0
138,140030,1,2,0,0,0,0,3,0,0,1,0,0,0,0
139,140040,0,0,0,1,0,0,1,0,0,0,0,0,0,0
140,140045,0,0,0,1,0,0,0,0,0,0,0,0,0,0
141,140047,0,0,0,1,1,2,0,1,0,0,2,0,0,1
142,140050,0,0,0,0,0,1,0,0,0,0,1,0,0,0
143,140070,0,0,0,1,3,2,2,0,0,1,0,0,1,1
144,150010,0,16,20,21,26,12,20,12,19,13,12,11,12,5
145,150013,0,0,0,1,1,2,3,0,3,0,0,1,1,0
146,150020,1,9,17,13,9,8,11,5,4,9,6,6,4,2
147,150030,0,6,1,2,4,1,1,0,1,0,0,0,2,0
148,150034,0,0,0,0,1,1,0,1,2,3,1,2,3,0
149,150040,1,10,2,2,5,12,7,7,2,0,4,2,7,0
150,150050,0,10,0,0,2,0,1,2,0,0,0,2,3,0
151,150060,0,14,7,7,6,4,23,22,6,7,15,7,14,4
152,150070,0,7,4,3,1,7,0,0,2,2,0,0,7,0
153,150080,1,63,80,79,76,52,71,55,45,49,45,63,40,11
154,150085,1,1,2,3,3,3,3,7,12,9,0,5,1,0
155,150090,0,24,7,4,4,3,2,2,3,2,2,5,2,4
156,150095,0,6,1,0,1,0,2,0,4,0,1,3,2,0
157,150110,0,1,3,3,3,2,14,4,4,7,2,0,4,1
158,150120,0,4,3,4,7,0,2,7,4,3,5,3,6,1
159,150125,0,0,0,0,1,0,0,0,0,1,0,0,1,0
160,150130,0,17,12,10,8,8,9,5,18,13,11,5,2,0
161,150140,19,166,262,296,182,120,118,132,97,82,105,107,73,17
162,150145,0,0,2,6,1,0,0,1,4,1,4,1,0,0
163,150150,1,3,2,5,3,3,6,8,10,10,4,8,3,0
164,150157,0,5,1,1,2,0,1,1,0,0,3,2,0,0
165,150160,0,2,1,0,1,0,0,1,0,1,0,1,2,0
166,150170,0,15,23,9,11,3,3,8,8,7,9,8,11,2
167,150172,0,4,2,1,0,7,0,1,3,0,4,0,2,0
168,150175,0,1,1,0,0,0,5,0,0,0,0,1,0,0
169,150178,0,1,4,9,7,1,3,4,2,4,7,2,4,4
170,150180,1,19,20,17,14,12,20,26,17,31,14,5,10,6
171,150190,0,1,3,1,0,3,2,0,9,0,3,1,5,0
172,150200,0,1,2,2,0,1,2,1,0,0,1,4,4,0
173,150195,0,3,6,0,0,0,0,3,2,2,0,0,0,2
174,150210,2,14,10,3,2,5,13,16,29,9,9,11,6,0
175,150215,0,6,1,1,12,4,0,3,7,9,2,4,1,0
176,150220,1,7,16,1,11,11,3,8,2,7,6,2,1,1
177,150230,0,7,0,1,1,3,4,5,6,11,8,1,1,0
178,150240,2,16,16,19,19,7,8,30,20,17,8,5,22,6
179,150250,0,0,0,2,1,0,0,0,1,2,1,0,2,0
180,150260,0,2,2,0,0,1,0,0,4,2,5,2,0,1
181,150270,0,5,9,7,8,1,2,15,14,4,2,1,2,1
182,150275,1,1,0,2,2,4,1,2,1,0,1,5,1,0
183,150276,0,0,1,0,4,0,0,1,0,0,2,1,1,0
184,150277,0,0,1,0,0,2,0,0,4,2,0,8,4,1
185,150280,0,3,4,2,7,0,2,1,4,1,1,4,2,0
186,150285,0,1,0,0,0,0,0,1,0,0,0,0,0,0
187,150290,0,6,3,9,5,4,1,6,7,3,1,2,5,0
188,150293,0,5,1,4,4,1,0,0,11,2,14,1,1,1
189,150295,0,15,2,2,0,2,1,0,3,0,1,3,1,1
190,150304,0,1,1,0,0,0,2,2,2,0,5,6,1,1
191,150307,0,1,1,2,1,4,1,2,0,3,2,5,8,0
192,150309,1,5,5,4,6,2,3,3,0,2,1,1,2,0
193,150310,0,0,1,2,5,6,6,5,0,1,0,6,6,0
194,150320,1,0,2,0,2,0,0,1,0,1,3,1,4,0
195,150330,0,1,3,11,9,7,7,4,4,11,4,7,3,2
196,150340,1,1,0,1,1,0,3,1,1,0,0,0,1,0
197,150345,0,8,0,3,8,2,1,1,0,7,2,5,5,3
198,150350,2,0,0,0,4,3,1,2,2,4,3,4,3,2
199,150360,0,3,4,2,17,8,14,0,0,3,1,1,1,0
200,150370,0,7,3,2,3,0,4,1,0,1,6,7,14,1
201,150375,0,0,0,0,0,0,0,0,0,0,0,0,0,1
202,150380,0,3,4,5,4,4,1,2,2,2,1,2,0,1
203,150390,0,4,2,8,2,1,0,1,1,0,2,0,1,0
204,150400,0,2,1,0,0,0,1,2,7,2,1,2,1,0
205,150405,0,3,2,6,0,1,1,0,1,0,0,1,0,0
206,150410,0,0,0,1,7,0,1,2,0,2,0,0,0,0
207,150420,0,12,19,25,26,24,20,15,22,6,15,20,12,3
208,150430,0,0,2,2,0,2,7,0,2,1,2,3,1,3
209,150440,0,3,4,0,2,6,1,1,1,1,1,2,0,0
210,150442,1,12,17,17,20,23,19,7,11,10,20,11,10,2
211,150445,0,5,3,2,1,4,0,0,1,0,5,1,2,0
212,150450,0,2,1,4,3,3,3,2,3,9,1,4,7,0
213,150460,0,4,0,2,5,1,1,2,1,4,1,1,1,0
214,150470,2,6,15,13,10,18,9,4,8,8,9,4,5,3
215,150475,0,0,0,0,0,0,0,0,0,0,0,0,0,3
216,150480,0,10,0,0,1,0,1,0,0,4,7,4,1,2
217,150490,1,3,5,0,3,2,7,0,2,2,1,1,3,0
218,150495,0,0,0,1,0,0,1,3,0,3,1,0,1,0
219,150497,0,2,0,0,1,0,0,0,0,0,1,0,0,0
220,150500,0,2,0,0,0,0,1,0,0,0,0,0,0,0
221,150503,3,3,1,1,2,0,1,3,1,0,3,1,1,1
222,150506,1,5,4,5,3,3,3,5,5,1,2,1,3,2
223,150510,1,2,0,0,0,0,0,1,0,0,0,0,0,0
224,150520,0,9,5,4,3,9,1,2,2,6,1,3,2,0
225,150530,0,9,5,4,1,1,0,0,1,0,0,0,0,2
226,150540,0,0,1,3,11,3,0,1,0,0,1,2,2,0
227,150543,0,1,4,0,4,1,2,0,1,0,2,9,2,2
228,150548,2,2,7,0,5,1,0,1,1,0,0,0,0,0
229,150549,0,1,0,0,0,0,0,0,1,1,2,1,0,0
230,150550,2,16,8,9,5,11,2,5,10,10,13,4,8,2
231,150553,0,8,2,12,15,14,16,13,16,30,17,16,19,6
232,150555,0,0,2,0,0,0,0,3,0,0,2,0,0,1
233,150560,0,2,1,1,0,1,0,0,1,0,0,1,2,0
234,150563,0,0,1,1,2,0,0,0,0,0,0,0,0,0
235,150565,0,0,1,0,1,0,1,0,2,0,3,1,0,0
236,150570,0,1,2,2,0,1,0,1,1,2,0,1,0,0
237,150580,0,4,3,4,3,5,8,7,10,14,0,0,3,0
238,150590,0,2,1,7,2,4,0,1,11,1,0,0,2,0
239,150600,0,0,2,0,1,1,0,1,0,0,2,1,1,4
240,150610,0,2,1,0,0,0,0,1,1,0,0,2,0,2
241,150611,0,0,1,0,0,0,1,0,1,1,1,1,0,0
242,150613,0,21,15,22,20,10,7,13,4,13,11,16,14,8
243,150616,1,1,0,0,1,2,0,1,0,1,3,0,0,1
244,150618,0,8,0,2,7,7,0,2,3,4,0,0,2,0
245,150619,0,1,0,1,1,1,1,0,8,1,0,1,2,0
246,150620,1,5,6,12,9,3,2,1,2,5,1,1,2,0
247,150630,0,0,1,0,3,0,0,0,0,0,0,0,0,0
248,150635,0,1,3,1,1,1,3,3,6,2,2,2,1,0
249,150640,0,0,1,0,1,0,0,0,0,0,1,0,1,0
250,150650,1,13,3,0,2,3,3,3,3,2,2,2,8,3
251,150655,0,3,5,2,1,0,0,0,2,0,2,0,1,0
252,150658,0,1,4,2,1,3,0,1,0,2,1,0,0,2
253,150660,0,2,1,0,5,3,2,5,2,2,4,6,7,0
254,150670,1,20,12,5,5,7,1,3,4,0,2,2,9,3
255,150680,1,10,11,21,8,9,9,1,10,8,4,6,20,6
256,150690,0,0,0,2,0,0,0,0,0,0,2,0,0,0
257,150700,1,6,6,1,4,3,0,5,0,0,1,4,4,0
258,150710,0,3,1,0,1,0,0,3,0,0,0,0,1,0
259,150715,0,1,1,2,1,0,0,0,0,1,1,1,2,0
260,150720,1,2,4,6,1,2,0,1,2,1,1,2,5,0
261,150730,1,1,12,18,7,5,1,3,7,15,8,10,10,2
262,150740,0,1,1,1,0,1,0,0,0,1,2,1,1,3
263,150745,0,3,0,1,0,0,0,0,1,0,4,4,0,0
264,150746,0,0,1,0,0,0,0,0,0,0,0,0,0,0
265,150747,0,2,0,3,3,3,1,1,1,1,1,0,1,1
266,150750,0,1,0,0,5,0,2,0,0,0,0,0,1,0
267,150760,2,2,4,4,5,5,1,2,4,4,2,2,3,0
268,150770,0,0,3,0,0,1,2,2,1,1,2,0,0,0
269,150775,0,0,0,0,0,0,1,0,0,0,0,0,0,0
270,150780,0,1,0,0,1,1,0,1,1,0,0,3,1,0
271,150790,0,2,0,3,0,2,3,4,2,1,2,1,0,0
272,150795,1,7,6,7,9,1,4,7,9,10,10,8,6,1
273,150796,0,3,0,2,1,0,0,1,0,0,1,2,1,2
274,150797,0,1,0,0,0,0,0,0,0,2,0,0,2,0
275,150800,0,2,2,7,3,8,5,1,1,6,3,3,4,1
276,150803,0,2,2,1,0,1,1,8,1,2,3,0,2,0
277,150805,0,0,0,0,2,1,0,0,0,0,1,1,0,0
278,150808,0,5,15,2,4,0,2,4,3,3,9,3,5,0
279,150810,1,4,12,8,10,7,5,7,9,7,4,7,3,2
280,150812,0,6,1,2,6,0,2,1,5,5,5,2,2,0
281,150815,0,4,3,2,2,1,1,5,2,2,3,5,0,1
282,150820,2,3,1,0,7,0,8,2,3,1,0,1,1,0
283,150830,0,12,6,3,4,2,9,4,1,2,1,3,2,0
284,150835,0,1,3,0,1,1,1,1,1,0,0,0,2,0
285,150840,0,4,9,7,1,3,0,2,1,7,0,1,3,0
286,160010,0,0,0,0,0,2,0,0,0,0,0,1,1,0
287,160020,0,0,1,1,0,0,1,3,0,1,3,0,0,0
288,160021,0,0,0,0,0,0,0,0,0,0,0,0,1,0
289,160023,0,0,0,0,0,0,0,0,0,0,0,1,0,0
290,160025,0,0,0,0,0,0,0,0,0,2,1,0,0,0
291,160027,0,1,3,2,2,1,6,5,11,9,6,7,2,1
292,160030,0,48,55,70,61,77,82,73,61,41,24,42,41,9
293,160040,0,3,0,0,0,1,1,1,1,0,1,1,0,0
294,160050,0,0,1,1,1,0,5,5,2,0,2,2,4,0
295,160015,0,0,0,0,0,0,0,0,0,0,0,1,1,0
296,160053,0,3,0,0,0,0,0,0,0,1,0,1,2,0
297,160060,0,8,14,9,6,5,2,7,3,3,2,4,1,1
298,160005,0,1,0,0,1,0,0,0,0,0,0,0,0,0
299,160070,0,0,1,0,0,0,0,0,0,0,3,2,0,0
300,160080,0,0,0,1,0,0,1,3,0,2,1,1,2,1
301,170025,1,0,1,1,1,0,0,2,0,0,0,0,0,0
302,170030,0,0,0,1,0,2,0,1,0,2,1,0,0,0
303,170035,0,0,2,2,0,0,0,3,0,6,25,1,1,0
304,170040,0,6,0,0,0,0,1,4,1,1,2,1,1,0
305,170070,1,0,0,1,2,2,2,0,2,0,1,0,1,0
306,170100,0,0,0,0,1,0,2,0,2,0,0,2,2,0
307,170110,0,3,1,2,0,1,1,0,3,2,0,0,4,1
308,170130,0,0,0,5,2,0,1,0,0,1,0,0,0,1
309,170190,0,0,0,0,0,0,0,0,2,0,0,22,0,0
310,170200,0,1,2,3,1,0,3,2,5,2,0,2,14,0
311,170210,3,29,24,36,17,26,19,30,40,24,6,18,15,6
312,170215,0,0,1,1,0,0,0,1,0,0,1,0,0,0
313,170220,0,0,0,0,11,4,9,18,1,1,1,1,6,0
314,170230,0,1,0,0,0,1,0,1,1,3,0,0,0,3
315,170240,0,0,0,2,2,3,2,0,2,0,0,1,5,1
316,170255,0,1,0,0,9,9,5,2,4,0,0,0,1,0
317,170270,0,0,0,1,1,6,0,0,0,0,0,0,0,0
318,170290,0,0,0,1,1,6,1,1,0,0,0,0,0,0
319,170300,0,5,2,0,0,0,0,0,15,0,0,0,0,1
320,170305,0,0,0,0,4,0,0,0,0,0,0,0,0,0
321,170307,0,0,2,2,0,0,1,0,0,1,0,0,0,0
322,170310,0,1,1,0,0,4,6,1,1,0,0,1,0,1
323,170320,0,0,1,0,0,0,0,1,0,1,0,0,0,0
324,170330,0,0,0,1,3,1,1,0,7,1,0,1,0,0
325,170360,3,0,0,0,1,1,0,0,0,1,0,0,0,0
326,170370,0,0,0,0,0,3,10,14,0,0,0,0,0,0
327,170380,0,4,0,1,3,0,2,0,0,0,0,0,1,0
328,170382,0,0,0,0,0,0,2,0,0,0,0,0,0,0
329,170384,0,1,3,3,3,0,0,0,2,1,0,2,1,0
330,170386,0,1,0,6,0,0,0,0,0,0,0,0,0,0
331,170388,0,0,0,1,1,0,0,0,0,0,4,0,0,0
332,170389,0,0,0,0,0,0,0,0,1,1,0,0,0,0
333,170390,0,0,1,0,1,0,4,4,7,2,4,0,4,0
334,170410,0,0,0,0,0,0,2,0,0,0,1,0,1,0
335,170510,0,0,0,0,0,0,0,5,0,0,0,0,0,1
336,170460,0,2,0,1,1,1,0,0,0,1,0,26,0,0
337,170550,0,13,9,14,15,3,0,5,3,8,1,13,9,1
338,171670,0,2,0,0,0,2,0,1,0,0,1,0,0,0
339,170555,0,0,0,0,0,0,0,1,0,0,0,0,0,0
340,170560,0,1,0,0,3,0,0,0,16,0,0,0,0,0
341,170600,0,0,0,0,0,0,0,0,2,0,0,0,1,0
342,170610,0,0,0,2,2,1,0,0,0,0,5,2,0,0
343,170625,0,0,0,0,0,0,0,4,0,0,0,0,0,0
344,170650,0,1,1,0,5,0,0,1,0,2,0,0,1,3
345,170700,0,5,1,0,1,2,9,7,0,1,0,3,7,1
346,170710,0,2,2,1,0,14,5,2,0,2,0,0,3,5
347,170720,0,1,4,0,3,1,1,2,2,2,0,4,0,0
348,170730,0,0,0,0,1,1,0,0,0,10,0,0,0,0
349,170740,0,0,0,0,1,0,6,3,1,0,0,1,0,0
350,170755,0,0,3,1,0,0,1,1,0,0,0,0,1,0
351,170765,0,3,3,0,1,3,2,3,16,1,2,4,2,0
352,170770,0,2,0,1,2,1,2,2,1,0,0,0,1,0
353,170820,1,6,2,3,2,4,5,0,11,2,0,2,3,5
354,170825,0,2,0,0,5,1,0,0,0,0,0,0,0,0
355,170830,0,0,0,2,1,0,0,1,1,4,1,0,1,0
356,170900,0,2,0,1,0,0,0,0,1,4,0,0,1,0
357,170930,1,6,3,5,6,5,2,7,7,1,6,8,2,1
358,170950,1,59,32,26,39,42,10,27,14,16,8,5,10,10
359,170980,0,0,0,0,1,0,1,1,0,0,1,0,0,0
360,171050,0,1,1,0,0,4,2,5,2,0,0,0,0,0
361,171070,0,0,0,0,1,0,0,0,0,0,0,0,0,0
362,171090,0,2,0,0,0,0,0,0,0,0,0,0,1,0
363,171110,0,0,0,0,0,0,0,0,0,0,0,1,0,0
364,171150,0,0,0,5,2,1,0,0,0,0,0,0,0,0
365,171180,0,3,0,0,0,0,2,1,0,0,0,0,2,0
366,171190,0,0,0,2,0,0,0,2,46,3,0,2,1,1
367,171195,0,3,0,1,0,1,1,6,1,1,0,0,0,1
368,171200,0,0,2,4,0,0,1,1,3,1,2,1,2,0
369,171215,0,0,0,0,0,0,0,1,0,0,0,1,0,0
370,171240,0,0,0,0,2,0,1,1,0,1,0,4,0,0
371,171250,0,1,6,2,0,1,2,0,0,0,2,0,0,0
372,171270,0,0,1,0,3,0,1,0,28,1,0,1,0,0
373,171280,0,0,0,0,0,1,0,0,0,0,0,0,1,0
374,171320,1,8,0,7,4,15,16,10,30,9,20,1,6,2
375,171330,0,1,2,2,2,7,0,3,18,22,1,1,18,0
376,171360,0,2,2,0,0,4,15,3,1,0,1,0,0,0
377,171370,0,0,0,0,0,0,0,1,0,0,0,0,0,0
378,171395,0,1,1,0,0,1,0,1,0,0,0,0,2,0
379,171420,0,0,1,0,4,2,4,3,21,0,1,1,1,0
380,171430,0,0,0,1,0,0,0,0,1,0,0,0,0,0
381,171488,0,0,0,1,0,0,4,0,0,6,1,0,2,0
382,171500,0,0,0,2,0,2,0,0,0,0,0,1,0,0
383,171510,0,3,0,0,1,1,0,4,1,0,0,1,0,0
384,171515,0,0,0,0,0,0,1,0,0,0,0,0,0,0
385,171525,0,0,0,0,0,0,1,0,0,0,0,1,0,0
386,171550,0,0,2,0,0,0,1,3,1,0,0,0,0,0
387,172100,0,52,57,52,46,70,107,125,100,69,121,74,66,11
388,171570,0,2,1,3,1,0,0,0,1,0,0,0,0,0
389,171380,0,4,2,0,0,0,2,0,0,0,0,0,0,0
390,171575,0,1,1,2,1,3,4,2,0,1,0,1,0,7
391,171610,2,15,29,8,11,15,26,37,18,24,13,10,10,0
392,171620,0,1,1,1,9,5,4,14,0,2,2,0,1,1
393,171630,0,4,1,0,0,0,0,0,0,1,0,0,0,0
394,171650,0,0,3,6,2,4,4,0,21,2,1,2,3,0
395,171660,1,4,0,3,3,1,3,9,0,0,0,8,3,0
396,171665,0,1,1,0,0,0,1,2,0,0,0,1,0,0
397,171700,0,0,0,0,1,0,1,0,1,0,0,0,2,2
398,171720,0,0,0,2,0,0,1,0,0,0,1,0,0,0
399,171750,0,0,1,2,6,2,0,1,0,1,7,0,0,0
400,171780,0,0,0,1,0,3,0,0,2,8,1,0,1,0
401,171790,0,1,0,4,1,1,7,3,1,1,1,0,0,0
402,171800,0,0,0,0,1,0,1,0,0,1,0,1,0,0
403,171820,0,10,5,7,30,23,51,46,54,10,11,34,65,2
404,171830,0,1,0,1,1,6,3,5,0,1,0,1,0,0
405,171840,1,0,0,0,0,0,0,1,0,0,1,0,0,0
406,171845,0,0,4,0,1,0,0,2,0,1,4,0,0,1
407,171850,1,0,0,0,0,0,0,0,0,0,13,0,0,0
408,171855,0,0,1,0,1,0,0,1,0,0,0,0,0,0
409,171865,0,0,0,0,0,0,2,0,0,1,1,0,0,0
410,171870,0,1,1,0,0,0,0,1,10,12,1,0,6,0
411,171875,0,7,2,9,3,0,0,1,0,1,0,1,2,0
412,171880,0,0,0,0,1,4,2,4,0,8,0,0,3,0
413,171884,0,0,0,0,0,0,1,2,0,1,0,0,1,0
414,171886,0,0,2,0,1,0,2,0,0,1,1,0,0,0
415,171888,0,3,0,0,0,0,3,0,0,0,0,0,1,0
416,171889,1,3,0,0,0,0,0,1,0,0,0,0,0,0
417,171890,0,1,0,1,3,2,7,4,5,1,0,0,0,0
418,171900,0,0,1,0,0,0,4,0,0,0,3,0,0,0
419,172000,0,0,0,1,0,0,0,0,1,0,0,0,0,0
420,172010,0,0,0,0,2,1,0,1,8,0,0,19,0,0
421,172015,0,0,0,0,0,0,0,0,1,22,21,0,1,0
